expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
うがい,うがい,gargling,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,k@]kPJW~yl,"การกลั้วคอ, การบ้วนปาก, กลั้วปาก, ล้างคอ",朝、うがいをします。,ตอนเช้าจะกลั้วคอ
受け取る,うけとる,"to receive, to get, to accept",JLPT JLPT_2 JLPT_3,"Jr/,h++/bg","รับ, ได้รับ, ยอมรับ, รับเอา",プレゼントを受け取りました。,ได้รับของขวัญ
動かす,うごかす,"to move, to shift",JLPT JLPT_2 JLPT_3,NB>1{PM|;},"เคลื่อนย้าย, เปลี่ยนตำแหน่ง, ขยับ, ย้าย",机を動かしてください。,กรุณาย้ายโต๊ะ
兎,うさぎ,"rabbit, hare",JLPT JLPT_2 JLPT_3,"fu:N<z:T,%","กระต่าย, กระต่ายป่า, กระต่ายบ้าน, สัตว์เลี้ยงลูกด้วยนม",うさぎがいます。,มีกระต่ายอยู่
牛,うし,"cattle, cow",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,f~4k*~tyLI,"วัว, โค, โคกระบือ, ปศุสัตว์",牛が草を食べています。,วัวกำลังกินหญ้า
失う,うしなう,"to lose, to part with",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,pYDJ7QMJY3,"สูญเสีย, แยกจากกัน, เสียไป, ขาดหาย",大切なものを失いました。,เสียของที่สำคัญไป
疑う,うたがう,"to doubt, to distrust",JLPT JLPT_2 JLPT_3,rNjW1$Ny&Q,"สงสัย ไม่ไว้วางใจ, คลางแคลงใจ, กังขา, ไม่เชื่อใจ",彼の話は疑わしいです。,เรื่องที่เขาเล่าดูน่าสงสัย
宇宙,うちゅう,"universe, cosmos, space",JLPT JLPT_2 JLPT_3,z$:a2a^Sj:,"จักรวาล, เอกภพ, อวกาศ, ห้วงอวกาศ",宇宙は広いです。,อวกาศกว้างใหญ่
討つ,うつ,"to attack, to avenge",JLPT JLPT_2 JLPT_3,PyYz(3~uk@,"โจมตี, แก้แค้น, ตอบโต้, ชำระแค้น",敵を討ちます。,แก้แค้นศัตรู
撃つ,うつ,"to attack, to shoot",JLPT JLPT_2 JLPT_3,E~&l5[EXS/,"โจมตี, ยิง, กราดยิง, ยิงปืน",鳥を撃ちました。,ยิงนก
うっかり,うっかり,carelessly; inadvertently,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,e}eZDDJ?#=,"อย่างไม่ระมัดระวัง; โดยไม่ได้ตั้งใจ, เผลอ, ประมาท, เลินเล่อ",うっかり忘れてしまいました。,เผลอ ลืมไปเสียแล้ว
映す,うつす,"to project, to reflect, to cast (shadow)",JLPT JLPT_2 JLPT_3,v%$=^xk|L|,"ฉายภาพ สะท้อนภาพ ทอดเงา, ส่อง, แสดงภาพ, ปรากฏภาพ",写真に映しました。,ถ่ายรูป
訴える,うったえる,"to complain, to appeal, to sue (a person)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,q3vDC2@R>l,"ร้องเรียน, อุทธรณ์, ฟ้องร้อง (บุคคล), ฟ้อง",裁判所に訴えます。,จะฟ้องร้องต่อศาล
写る,うつる,"to be photographed, to be projected",JLPT JLPT_2 JLPT_3,CI<Sr}lwt|,"เพื่อถ่ายภาพ เพื่อฉายภาพ, ถูกถ่าย, ปรากฏในภาพ, ถูกฉาย",写真に写ります。,ปรากฏในรูปถ่าย
映る,うつる,"to be reflected, to come out (photo)",JLPT JLPT_2 JLPT_3,b:A%=5OyPu,"สะท้อนออกมา, ปรากฏออกมา (ภาพถ่าย), ปรากฏให้เห็น, สะท้อนให้เห็น",鏡に映りました。,สะท้อนในกระจก
うなる,うなる,"to groan, to moan",JLPT JLPT_2 JLPT_3,s+o0tk>SxK,"คราง, ร้องโหยหวน, ส่งเสียงคราง, ครวญคราง",猫がうなっています。,แมวกำลังคราง
奪う,うばう,"to rob, to deprive",JLPT JLPT_2 JLPT_3,wyO.=2:4&2,"ปล้น, ริบของ, แย่งชิง, ยึด",財布を奪われました。,กระเป๋าสตางค์ถูกชิงไป
馬,うま,horse; promoted bishop (in Japanese chess known as shogi),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,I-Qwz&8r5B,"ม้า; บิชอปที่ได้รับการเลื่อนขั้น (ในหมากรุกญี่ปุ่นเรียกว่าโชงิ), อาชา, พาหนะ, สัตว์สี่เท้า",馬に乗ります。,ขี่ม้า
生まれ,うまれ,"birth, birth-place",JLPT JLPT_2 JLPT_3,deVvQ9]dKk,"การเกิด, สถานที่เกิด, กำเนิด, ถิ่นกำเนิด",東京生まれです。,เกิดที่โตเกียว
有無,うむ,"yes or no, presence or absence",JLPT JLPT_2 JLPT_3,q6A?^f?DMI,"ใช่หรือไม่ มีหรือไม่มีอยู่, มีอยู่หรือเปล่า, การมีอยู่, การไม่อยู่",その有無はわかりません。,ไม่รู้ว่ามีหรือไม่
梅,うめ,"plum, lowest (of a three-tier ranking system)",JLPT JLPT_2 JLPT_3,unQPf%DK.[,"ลูกพลัม อันดับต่ำสุด (ในระบบการจัดอันดับสามระดับ), ผลไม้, บ๊วย, ชั้นต่ำสุด",梅の花がきれいです。,ดอกบ๊วยสวยงาม
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",JLPT JLPT_2 JLPT_3,wtEE639hh4,"ฝัง, กลบ, เติมเต็ม (ที่นั่ง, ตำแหน่งว่าง)",穴を埋めます。,กลบหลุม
裏切る,うらぎる,"to betray, to turn traitor",JLPT JLPT_2 JLPT_3,hCN[eLWk|~,"ทรยศ, หักหลัง, กบฏ, ไม่ซื่อสัตย์",友達を裏切らないでください。,อย่าทรยศเพื่อน
羨ましい,うらやましい,"envious, enviable",JLPT JLPT_2 JLPT_3,P/?}=]sJqp,"อิจฉา น่าอิจฉา, ริษยา, อยากได้, ปรารถนา",彼の才能が羨ましいです。,อิจฉาความสามารถของเขา
売れる,うれる,to be sold,JLPT JLPT_2 JLPT_3,"wjQK4P,#&y","ขายแล้ว, จำหน่ายแล้ว, ถูกขาย, ออกไปแล้ว",この本はよく売れます。,หนังสือเล่มนี้ขายดี
噂,うわさ,"rumor, gossip",JLPT JLPT_2 JLPT_3,iJw30XJ732,"ข่าวลือ, เรื่องซุบซิบ, ข่าวโคมลอย, เรื่องเม้าท์",噂を聞きました。,ได้ยินข่าวลือ
運,うん,"fortune, luck",JLPT JLPT_2 JLPT_3,"niW>.BR,WX","โชคลาภ, โชคดี, วาสนา, ชะตา",運がいいですね。,โชคดีจังเลยนะ
運転,うんてん,"operation, driving",JLPT JLPT_2 JLPT_3,x@0Upz+IK7,"การใช้งาน การขับขี่, การขับรถ, การควบคุม, การเดินเครื่อง",車を運転します。,ขับรถ
柄,え,"handle (of a sword, dagger, etc.), grip",JLPT_1 JLPT JLPT_2 JLPT_3,vAFwXg-!s2,"ด้ามจับ (ของดาบ มีดสั้น ฯลฯ) ที่จับ, ด้าม, มือจับ, ส่วนที่จับ",刀の柄。,ด้ามดาบ
永遠,えいえん,"eternity, perpetuity, immortality",JLPT JLPT_2 JLPT_3,DxPif#CAiw,"นิรันดร์, ความคงอยู่ชั่วนิรันดร์, ความเป็นอมตะ, ตลอดไป",永遠の愛を誓います。,สาบานรักนิรันดร์
永久,えいきゅう,"eternity, perpetuity, immortality",JLPT JLPT_2 JLPT_3,"H2N,Hwk+O>","นิรันดร์, ความคงอยู่ชั่วนิรันดร์, ความเป็นอมตะ, ตลอดกาล",永久に保存します。,เก็บรักษาตลอดไป
影響,えいきょう,"influence, effect",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9,xzq]$1i3z},"อิทธิพล ผลกระทบ, ผลพวง, แรงกระตุ้น, การโน้มน้าว",天気に影響されます。,ได้รับผลกระทบจากสภาพอากาศ
営業,えいぎょう,"business, trade, management",JLPT JLPT_2 JLPT_3,xesLH`A]]j,"ธุรกิจ การค้า การจัดการ, การดำเนินธุรกิจ, การบริหาร, การค้าขาย",お店の営業時間は？,เวลาทำการของร้านคือ?
衛星,えいせい,satellite,JLPT_1 JLPT JLPT_2 JLPT_3,mODPl+GnJ<,"ดาวเทียม, ดวงจันทร์ (ในฐานะดาวบริวาร), ดาวบริวาร, ยานอวกาศ",人工衛星が飛んでいます。,ดาวเทียมกำลังโคจรอยู่
栄養,えいよう,"nutrition, nourishment",JLPT JLPT_2 JLPT_3,D*<eW1UGaQ,"โภชนาการ, การบำรุงร่างกาย, คุณค่าทางอาหาร, อาหารบำรุง",栄養のある食べ物。,อาหารที่มีคุณค่าทางโภชนาการ
笑顔,えがお,smile (on one's face),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,"ck|m~NB,1+","รอยยิ้ม (บนใบหน้า), หน้ายิ้ม, การยิ้ม, ใบหน้าที่ยิ้ม",彼女の笑顔は素敵です。,รอยยิ้มของเธอสวยงามมาก
描く,えがく,"to draw, to depict, to describe",JLPT JLPT_2 JLPT_3,A%|&4/hW0O,"วาด, พรรณนา, อธิบาย, บรรยาย",絵を描きます。,วาดรูป
餌,えさ,"feed, bait",JLPT JLPT_2 JLPT_3,kFT)$ftn@z,"อาหาร, เหยื่อล่อ, เหยื่อ, อาหารสัตว์",猫に餌をあげます。,ให้อาหารแมว
エネルギー,エネルギー,energy (GER: energie),JLPT JLPT_2 JLPT_3,z36oBXl-RE,"พลังงาน (GER: energie), แรงงาน, กำลังงาน, พลัง",エネルギーが必要です。,ต้องการพลังงาน
